chap_num,para_num,sent_num,token_num,token_str
1,0,0,0,The
1,0,0,1,family
1,0,0,2,of
1,0,0,3,Dashwood
1,0,0,4,had
1,0,0,5,long
1,0,0,6,been
1,0,0,7,settled
1,0,0,8,in
1,0,0,9,Sussex
1,0,1,0,Their
1,0,1,1,estate
1,0,1,2,was
1,0,1,3,large
1,0,1,4,and
1,0,1,5,their
1,0,1,6,residence
1,0,1,7,was
1,0,1,8,at
1,0,1,9,Norland
1,0,1,10,Park
1,0,1,11,in
1,0,1,12,the
1,0,1,13,centre
1,0,1,14,of
1,0,1,15,their
1,0,1,16,property
1,0,1,17,where
1,0,1,18,for
1,0,1,19,many
1,0,1,20,generations
1,0,1,21,they
1,0,1,22,had
1,0,1,23,lived
1,0,1,24,in
1,0,1,25,so
1,0,1,26,respectable
1,0,1,27,a
1,0,1,28,manner
1,0,1,29,as
1,0,1,30,to
1,0,1,31,engage
1,0,1,32,the
1,0,1,33,general
1,0,1,34,good
1,0,1,35,opinion
1,0,1,36,of
1,0,1,37,their
1,0,1,38,surrounding
1,0,1,39,acquaintance
1,0,2,0,The
1,0,2,1,late
1,0,2,2,owner
1,0,2,3,of
1,0,2,4,this
1,0,2,5,estate
1,0,2,6,was
1,0,2,7,a
1,0,2,8,single
1,0,2,9,man
1,0,2,10,who
1,0,2,11,lived
1,0,2,12,to
1,0,2,13,a
1,0,2,14,very
1,0,2,15,advanced
1,0,2,16,age
1,0,2,17,and
1,0,2,18,who
1,0,2,19,for
1,0,2,20,many
1,0,2,21,years
1,0,2,22,of
1,0,2,23,his
1,0,2,24,life
1,0,2,25,had
1,0,2,26,a
1,0,2,27,constant
1,0,2,28,companion
1,0,2,29,and
1,0,2,30,housekeeper
1,0,2,31,in
1,0,2,32,his
1,0,2,33,sister
1,0,3,0,But
1,0,3,1,her
1,0,3,2,death
1,0,3,3,which
1,0,3,4,happened
1,0,3,5,ten
1,0,3,6,years
1,0,3,7,before
1,0,3,8,his
1,0,3,9,own
1,0,3,10,produced
1,0,3,11,a
1,0,3,12,great
1,0,3,13,alteration
1,0,3,14,in
1,0,3,15,his
1,0,3,16,home
1,0,4,0,for
1,0,4,1,to
1,0,4,2,supply
1,0,4,3,her
1,0,4,4,loss
1,0,4,5,he
1,0,4,6,invited
1,0,4,7,and
1,0,4,8,received
1,0,4,9,into
1,0,4,10,his
1,0,4,11,house
1,0,4,12,the
1,0,4,13,family
1,0,4,14,of
1,0,4,15,his
1,0,4,16,nephew
1,0,4,17,Mr
1,0,5,0,Henry
1,0,5,1,Dashwood
1,0,5,2,the
1,0,5,3,legal
1,0,5,4,inheritor
1,0,5,5,of
1,0,5,6,the
1,0,5,7,Norland
1,0,5,8,estate
1,0,5,9,and
1,0,5,10,the
1,0,5,11,person
1,0,5,12,to
1,0,5,13,whom
1,0,5,14,he
1,0,5,15,intended
1,0,5,16,to
1,0,5,17,bequeath
1,0,5,18,it
1,0,6,0,In
1,0,6,1,the
1,0,6,2,society
1,0,6,3,of
1,0,6,4,his
1,0,6,5,nephew
1,0,6,6,and
1,0,6,7,niece
1,0,6,8,and
1,0,6,9,their
1,0,6,10,children
1,0,6,11,the
1,0,6,12,old
1,0,6,13,Gentleman
1,0,6,14,s
1,0,6,15,days
1,0,6,16,were
1,0,6,17,comfortably
1,0,6,18,spent
1,0,7,0,His
1,0,7,1,attachment
1,0,7,2,to
1,0,7,3,them
1,0,7,4,all
1,0,7,5,increased
1,0,8,0,The
1,0,8,1,constant
1,0,8,2,attention
1,0,8,3,of
1,0,8,4,Mr
1,0,9,0,and
1,0,9,1,Mrs
1,0,10,0,Henry
1,0,10,1,Dashwood
1,0,10,2,to
1,0,10,3,his
1,0,10,4,wishes
1,0,10,5,which
1,0,10,6,proceeded
1,0,10,7,not
1,0,10,8,merely
1,0,10,9,from
1,0,10,10,interest
1,0,10,11,but
1,0,10,12,from
1,0,10,13,goodness
1,0,10,14,of
1,0,10,15,heart
1,0,10,16,gave
1,0,10,17,him
1,0,10,18,every
1,0,10,19,degree
1,0,10,20,of
1,0,10,21,solid
1,0,10,22,comfort
1,0,10,23,which
1,0,10,24,his
1,0,10,25,age
1,0,10,26,could
1,0,10,27,receive
1,0,11,0,and
1,0,11,1,the
1,0,11,2,cheerfulness
1,0,11,3,of
1,0,11,4,the
1,0,11,5,children
1,0,11,6,added
1,0,11,7,a
1,0,11,8,relish
1,0,11,9,to
1,0,11,10,his
1,0,11,11,existence
1,1,0,0,By
1,1,0,1,a
1,1,0,2,former
1,1,0,3,marriage
1,1,0,4,Mr
1,1,1,0,Henry
1,1,1,1,Dashwood
1,1,1,2,had
1,1,1,3,one
1,1,1,4,son
1,1,2,0,by
1,1,2,1,his
1,1,2,2,present
1,1,2,3,lady
1,1,2,4,three
1,1,2,5,daughters
1,1,3,0,The
1,1,3,1,son
1,1,3,2,a
1,1,3,3,steady
1,1,3,4,respectable
1,1,3,5,young
1,1,3,6,man
